id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,lat_estacion_origen,long_estacion_origen
138BAEcobici,138 - Hospital Britanico,153 Perdriel,-34.6353595,-58.38767239999999
13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-34.61009,-58.406000000000006
141BAEcobici,141 - SOLIS Y ALSINA,225 Solis,-34.6115231,-58.3904968
143BAEcobici,143 - BILLINGHURST Y VALENTÍN GOMEZ,"455 Billinghurst & Gomez, Valentin",-34.604709,-58.415807
144BAEcobici,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-34.6018744,-58.4060944
146BAEcobici,146 - Hospital Francés,"3024 Calvo, Carlos",-34.6221118,-58.4078419
148BAEcobici,323 - Parque Avellaneda II,Av. Directorio y Av. Olivera,-34.645137,-58.484507
149BAEcobici,149 - LIMA,México & Lima,-34.6153266,-58.3813642
14BAEcobici,014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",-34.577424,-58.426387
150BAEcobici,150 - RODRIGO BUENO,Av. España 2200,-34.618754700000004,-58.3554654
151BAEcobici,151 - AIME PAINÉ,"Villaflor, Azucena & Paine, Aime",-34.6118145,-58.361285
152BAEcobici,152 - JULIETA LANTERI,"Vera Peñaloza, Rosario 599 & Lanteri Julieta",-34.6181645,-58.3596311
153BAEcobici,153 - JUAN MANUEL DE BLANES,"383 Blanes, Juan Manuel",-34.6307765,-58.3620701
154BAEcobici,154 - GALLO,789 Gallo,-34.6005484,-58.4122849
155BAEcobici,155 - Parque José Evaristo Uriburu,300 Almafuerte Av. & Los Patos,-34.64117,-58.412408
156BAEcobici,156 - Plaza Alemania,2939 Cavia,-34.5775895,-58.4074696
158BAEcobici,158 - VILLARROEL,1321 Villarroel & Humboldt CABA,-34.592735,-58.445069700000005
15BAEcobici,015 - JUANA MANSO II,Juana Manso & Emma de la Barra,-34.6004,-58.3636706
161BAEcobici,161 - Humahuaca,3912 Humahuaca,-34.6020779,-58.4196761
162BAEcobici,162 - LARREA Y BARTOLOMÉ MITRE,80 Larrea,-34.608985,-58.401924
163BAEcobici,163 - ONCE II,Bartolome Mitre & Av. Puyrredon,-34.6095663,-58.4064308
164BAEcobici,164 - FACULTAD DE INGENIERIA,Estados Unidos 21,-34.6181442,-58.3669021
165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-34.597048,-58.407614
166BAEcobici,166 - Cementerio de Recoleta,Vicente López 2100,-34.588346663239754,-58.39414794286565
167BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,-34.606984000000004,-58.44854
168BAEcobici,168 - Estados Unidos,Estados Unidos & Lima,-34.6186217,-58.3812271
169BAEcobici,169 - FACULTAD DE PSICOLOGIA,"Yrigoyen, Hipolito & 24 De Noviembre",-34.612345899999994,-58.41185600000001
16BAEcobici,EX LEGISLATURA,Peru 169,-34.61,-58.37
170BAEcobici,170 - SAN LUIS Y ECUADOR,2862 San Luis & Ecuador,-34.599664399999995,-58.40610229999999
171BAEcobici,171 - Pasteur,519 Pasteur,-34.6032813,-58.3997553
172BAEcobici,172 - BRASIL,BRASIL&DEFENSA,-34.625426000000004,-58.371082
173BAEcobici,173 - PLAZA CECILIA GRIERSON,Av. San Juan 632,-34.6222964,-58.37516070000001
174BAEcobici,174 - MINISTERIO DE EDUCACION,Marcelo T. de Alvear & Rodriguez Peña,-34.597225,-58.391768000000006
175BAEcobici,147 - Constitución,Avenida Juan de Garay 1050,-34.626851,-58.380707
176BAEcobici,067 - PARQUE SARMIENTO I,Av. Dr. Ricardo Balbín 4402,-34.555254,-58.494845
177BAEcobici,177 -PLANETARIO,Av Casares y Av Belisario Roldan,-34.568165,-58.412121
178BAEcobici,Test Técnico PDM,Place Holder 178,-34.61315,-58.37723
179BAEcobici,179 - CASA SAN,Olavarría 811,-34.6384786,-58.3642885
17BAEcobici,017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",-34.606410100000005,-58.4187306
180BAEcobici,180 - CASTRO Y MEXICO,680 Castro & Mexico CABA,-34.619775,-58.420492
181BAEcobici,181 - BILLINGHURST Y MANSILLA,"1520 Billinghurst & Mansilla, Lucio Norberto, General",-34.592664899999995,-58.412007200000005
182BAEcobici,182 - RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",-34.5780479,-58.4352466
183BAEcobici,183 - VIRREY CEVALLOS,Mexico 1652,-34.615699400000004,-58.3899728
184BAEcobici,184 - Pedro Echague,Pedro Echague 1878 & Combate De Los Pozos,-34.6306129,-58.3913419
185BAEcobici,185 - AV. PAVÓN Y 33 ORIENTALES,33 Orientales 1400,-34.63133,-58.42177
186BAEcobici,186 - MANZANA 66,2875 Moreno,-34.6136356,-58.40644150000001
187BAEcobici,261 - QUINTEROS LIDORO,"1483 Quinteros, Lidoro J. Av.",-34.552571,-58.450897
188BAEcobici,373 - Jorgelina De Simone,Cochabamba 1755,-34.623923,-58.3904814
189BAEcobici,189 - POSADAS,1350 Posadas,-34.588688899999994,-58.3852113
190BAEcobici,190 - JUNCAL,"Juncal & Salguero, Jeronimo",-34.5850763,-58.41111360000001
191BAEcobici,191 - Rivadavia y 9 de Julio,Pellegrini Y Rivadavia Av.,-34.6079305,-58.3808358
192BAEcobici,192 - Talcahuano,990 Talcahuano,-34.5972773,-58.3855748
193BAEcobici,193 - ARENALES Y AGUERO,Arenales y Aguero,-34.5908626,-58.4061652
194BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,3997 TTE. GENERAL JUAN DOMINGO PERON,-34.6060758,-58.4224635
195BAEcobici,357 - PLAZA MARTIN FIERRO,La Rioja & Cochabamba,-34.6260785,-58.407389
196BAEcobici,196 - HOSPITAL ARGERICH,750 Pi Y Margall & Necochea,-34.6275351,-58.3657211
197BAEcobici,197 - PLAZA CIUDAD DE UDINE,Mercedes 1480,-34.620998,-58.493044
198BAEcobici,Armazém,Armazem,-34.57,-58.38
199BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,-34.622260100000005,-58.4160137
19BAEcobici,019 - PLAZA SAN MARTIN,Av. Santa Fe 750 & Maipu,-34.5956027,-58.3776353
1BAEcobici,ERRONEA,Av. Pres. Figueroa Alcorta 2120,-34.583811,-58.0
200BAEcobici,200 - AUSTRIA Y FRENCH,Austria 2075,-34.5890696,-58.40536170000001
201BAEcobici,175 - Esmeralda y Corrientes,Esmeralda y Corrientes,-34.6034449,-58.378167000000005
202BAEcobici,001 - FACULTAD DE DERECHO,Av. Pres. Figueroa Alcorta 2120,-34.583749,-58.390602
203BAEcobici,108 - Usina del Arte,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",-34.628757,-58.356259
204BAEcobici,167 - Hipólito Yrigoyen,"4300 Yrigoyen, Hipolito Av.",-34.614948,-58.427818
205BAEcobici,125 - F.J.Santamaria de Oro,F.J.Santamaria de Oro & Guatemala,-34.583323,-58.42801600000001
206BAEcobici,159 - Fitz Roy & Gorriti,Fitz Roy & Gorriti,-34.58495,-58.437339
207BAEcobici,123 - BASUALDO Y RODO,Basualdo 1218,-34.649323859081555,-58.49263398705689
208BAEcobici,145 - RAVIGNANI,"Ravignani, Emilio, Dr. & Costa Rica",-34.58047020000001,-58.43799250000001
209BAEcobici,Depósito,Balboa 220,-34.0,-58.0
20BAEcobici,020 - Distrito Audiovisual,Zapiola & Dorrego,-34.5798619,-58.44177560000001
210BAEcobici,335 - General Urquiza,Figueroa Alcorta & Sarmiento,-34.572165000000005,-58.411278
211BAEcobici,195 - Plaza Garay,"Garay, Juan De Av. &Saenz Peña, Luis, Pres.",-34.6266267,-58.3879696
212BAEcobici,129 - Velasco,J.Ramirez de Velasco 285,-34.600275,-58.434875
213BAEcobici,136 - Acevedo,Acevedo y Padilla,-34.599659,-58.442685
214BAEcobici,142 - Armenia y Gorriti,Armenia 1525 y Gorriti,-34.590540999999995,-58.428974
215BAEcobici,113 - Guatemala,Guatemala 4773,-34.585878,-58.42499599999999
216BAEcobici,059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,-34.589968,-58.41149300000001
217BAEcobici,198 - HOSPITAL SARDÁ,"Castillo, Catulo & Dean Funes",-34.6342818,-58.404212300000005
218BAEcobici,067 - Senillosa,Senillosa 1905 & Zañartu,-34.638523,-58.425464
219BAEcobici,140 - Las Casas,Metan 3661,-34.6360274,-58.4156332
21BAEcobici,021 - Parque Patricios,Iguazu & Uspallata,-34.640111,-58.406432
220BAEcobici,097 - Avelino Diaz,Avelino Diaz&Doblas,-34.635128,-58.427573
221BAEcobici,157 - Senillosa y Zuviria,Senillosa 989 y Zuviria,-34.6280441,-58.427404200000005
222BAEcobici,160 - Godoy Cruz y Libertador,Godoy Cruz  3279 y Libertador,-34.572583,-58.420628
223BAEcobici,178 - José Marmol,803 José Marmol,-34.6234,-58.424853000000006
224BAEcobici,133 - Nicaragua,Nicaragua & Bonpland,-34.5808537,-58.434484
225BAEcobici,109 - Lerma,175 Lerma & Bonpland,-34.5968511,-58.4295184
226BAEcobici,139 - Virrey Liniers,Salcedo 3408 & Virrey Liniers,-34.633334999999995,-58.41322629999999
227BAEcobici,188 - Aranguren,"137 Aranguren, Juan F., Dr. & Portugal",-34.610456,-58.432786
228BAEcobici,010 - Madero UCA,"1600 Moreau De Justo, Alicia Av.",-34.6162819,-58.3657444
229BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,Cordoba 6599,-34.581576,-58.451530000000005
22BAEcobici,022 - Arenales,Cerrito & Arenales,-34.5938629,-58.3825498
230BAEcobici,259 - PLAZA CASTELLI,Echeverria 3249,-34.5678255,-58.4645037
231BAEcobici,384 - PLAZA BENITO NAZAR,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel",-34.605109000000006,-58.445897
232BAEcobici,252 - Tamborini,Tamborini 3821,-34.5599779,-58.4790578
233BAEcobici,389 - Plaza República De Mexico,693 La Pampa,-34.553976500000005,-58.43603670000001
234BAEcobici,344 - UNIVERSIDAD DI TELLA,"1001 Saenz valiente, Juan Pablo",-34.5483593,-58.4475673
235BAEcobici,281 - Villa Urquiza,Triunvirato Av. & Roosevelt Franklin D. Av.,-34.573795000000004,-58.487074
236BAEcobici,254 - Plaza Rafael Hernandez,Vuelta de Obligado 2004,-34.562161,-58.455166000000006
238BAEcobici,217 - Cachimayo,1489 Cachimayo,-34.636581400000004,-58.43670110000001
239BAEcobici,391 - Plaza República de Ecuador,"Figueroa Alcorta, Pres. Av. & Dorrego Av.",-34.565090999999995,-58.420702
23BAEcobici,023 - Suipacha,Suipacha & Viamonte,-34.600139,-58.379836
240BAEcobici,239 - Vidal,Vidal 2799,-34.558137,-58.465559
241BAEcobici,348 - Villa del Parque,"Gutierrez, Ricardo 3105",-34.600874,-58.494123
242BAEcobici,103 - MALBA,3051 San Martin De Tours,-34.57716,-58.403214
244BAEcobici,266 - Plaza Alfredo Nobel,Hamburgo 3310,-34.5874735,-58.4842469
245BAEcobici,248 - Husares,Husares 2201,-34.552594,-58.4429397
246BAEcobici,338 - Sucre y Dragones,Sucre 877 y Dragones,-34.554326,-58.438925600000005
247BAEcobici,282 - Tronador,Triunvirato Av. & Tronador,-34.58389570000001,-58.466494
248BAEcobici,346 - Plaza Zapiola,2001 Donado,-34.573522,-58.474635
249BAEcobici,307 - LEONARDO PEREYRA,California y Velez Sarfield,-34.649506877132595,-58.38912434455312
24BAEcobici,024 - ALSINA,Adolfo Alsina& Bernardo De Irigoyen,-34.610583,-58.3808943
250BAEcobici,366 - Plaza Diaz Velez,"Cruz, Osvaldo Av. & San Antonio",-34.6526797,-58.377215
251BAEcobici,388 - Plaza Jose C Paz,"Pepiri y Paz, Jose C.",-34.64485797668555,-58.4097486603218
252BAEcobici,331 - CALIFORNIA,California y General Hornos,-34.647121000000006,-58.374336
253BAEcobici,383 - Boedo & Venezuela,Boedo Av. & Republica Bolivariana De Venezuela,-34.6172808,-58.4167728
254BAEcobici,276 - PRIMERA JUNTA,Av. Rivadavia & Del Barco Centenera,-34.620717,-58.441607
255BAEcobici,374 - Puan,Yerbal 1290,-34.622091999999995,-58.448547
256BAEcobici,209 - PAYSANDU,1182 Paysandu,-34.610398,-58.454304
257BAEcobici,264 - Plaza Marcos Sastre,Miller & Monroe,-34.570825,-58.481236
258BAEcobici,336 - La Pampa,La Pampa 2512 & Ciudad de la Paz,-34.565521000000004,-58.45533399999999
259BAEcobici,290 - Club Excursionistas,Miñones 1818,-34.5580469,-58.4434052
25BAEcobici,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-34.5894269,-58.4161178
260BAEcobici,371 - Paseo de las Americas,Juramento 646,-34.550961,-58.4381142
261BAEcobici,272 - Plaza Bruno Giordano,Bruno Giordano&Neuquen,-34.616151,-58.440584
262BAEcobici,349 - Plaza Saenz Peña,Andres Lamas&Remedios Escalada de San Martin,-34.609759999999994,-58.467477
263BAEcobici,270 - PLAZA DEL ANGEL GRIS,Calcena & Avellaneda Av.,-34.622003,-58.457555000000006
264BAEcobici,283 - CNEL. JUAN CRUZ CZETZ,"Balbin, Ricardo, Dr. Av. & Larralde, Crisologo Av.",-34.5559308,-58.4812325
265BAEcobici,361 - Plaza Don Segundo Sombra,2347 Santander,-34.64196,-58.4505
266BAEcobici,379 - CORPORACIÓN BS AS SUR,RABANAL 3220,-34.6654739,-58.43848829999999
267BAEcobici,315 - BEIRO Y SAN MARTÍN,3209 Av. Francisco Beiro,-34.597612100000006,-58.4985424
268BAEcobici,399 - GARCIA DEL RIO,GARCIA DEL RIO & PINTO,-34.550015,-58.476521
269BAEcobici,260 - SAN MIGUEL DE GARICOITS,"Delgado & Loreto, Virrey",-34.577329,-58.457799
26BAEcobici,026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",-34.600752,-58.3638723
270BAEcobici,370 - Beauchef,1995 Beauchef,-34.640114000000004,-58.43026
271BAEcobici,365 - Venancio Flores,"Argerich & Flores, Venancio, Gral.",-34.630108,-58.47384399999999
272BAEcobici,347 - PLAZA MALAVER,328 Heredia CABA,-34.5883744,-58.46686510000001
273BAEcobici,223 - GAINZA,"494 Gainza, Martin De, Gral.",-34.616758000000004,-58.446751
274BAEcobici,369 - Ciudad De La Paz,2816 Ciudad de la Paz CABA,-34.5563511,-58.4630428
275BAEcobici,256 - PLAZA NORUEGA,Amenabar y Mendoza,-34.562396,-58.459148
276BAEcobici,296 - FREIRE,"2899 Freire, Ramon, Cap. Gral.",-34.559476000000004,-58.4699652
277BAEcobici,292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,-34.563539,-58.436115
278BAEcobici,233 - MONROE,2519 Superi,-34.564122,-58.469813
279BAEcobici,325 - CASTELLI Y PERON,"Castelli & Peron, Juan Domingo, Tte. General",-34.607516,-58.404758
27BAEcobici,027 - Montevideo,Cordoba Av. & Montevideo,-34.599068,-58.3900887
280BAEcobici,222 - SIMON BOLIVAR,"1701 Fernandez Moreno, Baldomero",-34.633528000000005,-58.449379
281BAEcobici,350 - Plaza Irlanda,Av. Gaona 2200,-34.613778,-58.458315
282BAEcobici,332 - PLAZOLETA PORTUGAL,"Aviles, Virrey & Cramer",-34.5699743,-58.4562794
