id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,lat_estacion_origen,long_estacion_origen
347BAEcobici,230 - Parque Las Heras II,3120 Pacheco de Melo,-34.5834356,-58.4065391
348BAEcobici,231 - Margariños Cervantes,2465 Margariños Cervantes,-34.610482,-58.474369
349BAEcobici,232 - Sucre y Martinez,3517 Sucre,-34.570894,-58.46688399999999
34BAEcobici,Ex Parque Avellaneda II,Av.Directorio y Av.Olivera,-34.64,-58.48
350BAEcobici,234 - Valdenegro,2831 Valdenegro,-34.567996,-58.4851455
351BAEcobici,235 - Colegiales,Zabala 2825,-34.5717033,-58.4520772
352BAEcobici,236 - Guemes,4718 Guemes,-34.5807104,-58.4248291
353BAEcobici,237 - Madero Office,"367 Sanchez De Thompson, Mariquita",-34.599036,-58.364695
354BAEcobici,241 - Sanatorio Mendez,512 Hidalgo,-34.613457000000004,-58.4401581
355BAEcobici,242 - Plazoleta Rafael del Riego,o´higins 1327,-34.567483,-58.446381
356BAEcobici,245 - Arribeños,3229 Arribeños,-34.547695000000004,-58.4584684
358BAEcobici,249 - Balbín,2519 Conesa,-34.561486,-58.465586
359BAEcobici,250 - Fleni,2292 Montañeses,-34.555602,-58.450479
35BAEcobici,035 - INGENIERO BUTTY,Ing. E. Butty 291,-34.596424600000006,-58.371847
361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-34.569187,-58.453608
362BAEcobici,262 - Holmberg,2725 Holmberg,-34.566746,-58.479108
363BAEcobici,354 - José Martí,Eva Perón 3321,-34.6439,-58.463114
364BAEcobici,381 - Matienzo Y Arce,"1798 Matienzo, Benjamin, Teniente",-34.568693,-58.43447
366BAEcobici,360 - Plaza Ramon Falcon,Dip. Osvaldo Benedetti 125,-34.63562929312515,-58.482770573412935
367BAEcobici,287 - Belaustegui,"Belaustegui, Luis, Dr. 2890",-34.61621214148026,-58.4772094734465
368BAEcobici,378 - AGRONOMIA,4351 San Martin,-34.59807,-58.482079000000006
369BAEcobici,304 - Navarro,Navarro 2625,-34.592244,-58.491797
36BAEcobici,036 - MAIPÚ,MAIPÙ 300,-34.6045481,-58.3767677
370BAEcobici,305 - Plaza Martin Rodriguez,3016 Pareja,-34.590964,-58.500336
371BAEcobici,269 - Plaza De La Misericordia,493 Lautaro,-34.63281,-58.455058
372BAEcobici,322 - MARTÍ Y DIRECTORIO,"404 Marti, Jose",-34.636406,-58.470136
373BAEcobici,265 - Plaza Exodo Jujeño,Liverpool 2812,-34.582336918286785,-58.48108314683206
374BAEcobici,367 - Eva Perón,Primera Junta 3900,-34.646911365478765,-58.4699753897715
375BAEcobici,301 - Arregui Y Terrada,2793 Arregui,-34.604597356692906,-58.48481211614322
376BAEcobici,324 - Las Victorias,"4083 Vallese, Felipe",-34.626778,-58.487078
377BAEcobici,327 - ACUÑA DE FIGUEROA Y POTOSI,296 Acuna de Figueroa,-34.607333000000004,-58.422987
378BAEcobici,215 - HOSPITAL ALVAREZ,Bolivia 683,-34.623123,-58.468287
379BAEcobici,390 - De Los Ombues,"De Los Ombues Av. & Bello, Andres",-34.560162,-58.428163
37BAEcobici,off braudacco,Esmeralda y Av. Rivadavia,-34.6079855,-58.3780549
380BAEcobici,319 - Cervantes y Trelles,Margariño Cervantes y Trelles,-34.60603820000001,-58.46481
381BAEcobici,274 - Plaza Nuestra Señora de la Asuncion,Gavilan 1300,-34.6153,-58.4665179
382BAEcobici,204 - Biarritz,Biarritz 2403,-34.605470000000004,-58.47739
383BAEcobici,263 - Plaza Echeverria,Nahuel Huapi & Triunvirato Av.,-34.571621,-58.489026
384BAEcobici,267 - Plaza 25 De Agosto,14 de julio de 1194,-34.57951881156861,-58.46183473148808
385BAEcobici,268 - Plaza Aristóbulo Del Valle,Campana Y MARCOS SASTRE,-34.606159914753725,-58.49314134520765
386BAEcobici,277 - Coghlan,2647 Estomba,-34.5654,-58.4759
387BAEcobici,278 - Donato Alvarez,"1540 Garcia, Juan Agustin",-34.602028000000004,-58.465568000000005
388BAEcobici,279 - Andonaegui,1902 Andonaegui,-34.580927,-58.48455
389BAEcobici,286 - OEA,Del Barco Centenera 741,-34.62795,-58.44024
38BAEcobici,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-34.59704970000001,-58.38284029999999
390BAEcobici,288- 11 de septiembre,288- 11 de Septiembre de 1888 3314,-34.547758,-58.459881
391BAEcobici,295 - Larralde,3607 Vidal,-34.5508944,-58.4719176
392BAEcobici,297 - TRONADOR Y GARCÍA DEL RÍO,Tronador y Garcia del Rio,-34.554581,-58.485381
393BAEcobici,300 - Jose Artigas,524 Balboa,-34.590848,-58.468535
394BAEcobici,358 - REGIMIENTOS DE PATRICIOS,Regimiento de los Patricios 1702,-34.6455992,-58.3684969
